Fund incorporation and Bond issue expenses,Euros
Registration of the Prospectus in the CNMV,39,033.29 Euros.
Supervision of the listing process by the CNMV,27,135.00 Euros.
Fee for listing in AIAF Fixed Income Market,52,200.00 Euros.
Inclusion of the issue in the book entry system, IBERCLEAR,2,900.00 Euros.
Subtotal (listing expenses),121,268.29 Euros.
Notary fees, audit, rating, legal, advertising of the issue, printing and
other fees,498,731.71 Euros
Underwriting and distribution fees for the Bond issue.,630,000.00 Euros
Total expenses,1,250,000.00 Euros
