% TAA:,10%,12%,,15%
,Bonos Serie A1,,,
Vida media (años),1,58,1,37,,1,14
TIR,3,888%,3,888%,,3,889%
Duración (años),1,471,1,282,,1,076
Fecha de Liquidación
Anticipada del Fondo,29-mar-2010,28-sep-2009,,30-mar-2009
