,Margen
Serie A1,0,04%-0,10%
Serie A2,0,12%-0,17%
Serie A3,0,16%-0,19%
Serie B,0,20%-0,30%
Serie C,0,30%-0,45%
Serie D,0,50%-0,80%
Serie E,2,00%-2,75%
Serie F,3,00%
