,,,,S&P,,,,Fitch,,,,Moody’s,,
,,,Calificación,,Fecha,,Calificación,,Fecha,,Calificación,,Fecha,
,Corto,,-,,-,,F2,,Noviembre/2006,,-,,-,
,Plazo,,,,,,,,,,,,,
,Largo,,-,,-,,A-,,Noviembre/2006,,-,,-,
,Plazo,,,,,,,,,,,,,
