,,,,S&P,,,,Fitch,,,,Moody’s,,
,,,Calificación,,Fecha,,Calificación,,Fecha,,Calificación,,Fecha,
,Corto,,-,,-,,F2,,Mayo/2006,,P2,,Mayo/2006,
,Plazo,,,,,,,,,,,,,
,Largo,,-,,-,,A-,,Mayo/2006,,A3,,Mayo/2006,
,Plazo,,,,,,,,,,,,,
