,Serie B,
Entidad,,
,Nº,Importe
,,
CAJA GRANADA,43,4.300.000
CAIXA TERRASSA,41,4.100.000
BSIL,14,1.400.000
CALYON,14,1.400.000
IXIS CIB,14,1.400.000
EBN BANCO,13,1.300.000
Total,139,13.900.000
