% TAA:,10%,12%,,15%
,Bonos Serie C,,,
Vida media (años),10,94,9,62,7,91,
TIR,4,253%,4,253%,4,253%,
Duración (años),8,318,7,506,6,391,
Fecha de Liquidación
Anticipada del Fondo,28-sep-2022,28-dic-2020,28-sep-2018,
