% TAA:,10%,12%,,15%
,Bonos Serie D,,,
Vida media (años),10,94,9,62,,7,91
TIR,4,619%,4,619%,,4,619%
Duración (años),8,137,7,358,,6,281
Fecha de Liquidación
Anticipada del Fondo,28-sep-2022,28-dic-2020,,28-sep-2018
% TAA:,10%,12%,,15%
,Bonos Serie E,,,
Vida media (años),10,94,9,62,,7,91
TIR,6,680%,6,680%,,6,680%
Duración (años),7,227,6,603,,5,715
