% TAA:,10%,12%,,15%
,Bonos Serie B,,,
Vida media (años),10,94,9,62,,7,91
TIR,4,096%,4,096%,,4,096%
Duración (años),8,397,7,571,,6,439
Fecha de Liquidación,28-sep-2022,28-dic-2020,,28-sep-2018
Anticipada del Fondo,,,,
