,Tipo de Interés,,,Serie,,,Serie,,,Serie,,,Serie,,,Serie,,,Serie,,,Serie,,,Serie,
,,,,A1,,,A2,,,A3,,,B,,,C,,,D,,,E,,,F,
,Nominal,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,779,,,3,849,,,3,869,,,3,979,,,4,129,,,4,479,,,6,429,,,6,679,,
