Cedente,% del saldo nominal
pendiente de vencimiento
de las participaciones
hipotecarias en la cartera
auditada,% del saldo nominal
pendiente de vencimiento
de los certificados de
transmisión de hipoteca en
la cartera auditada
CAIXA TERRASSA,30,85%,0,00%
CAJA GRANADA,24,27%,6,42%
CAJA VITAL,20,59%,0,00%
CREDIFIMO,13.52%,4,36%
