% TAA:,10%,,12%,,15%
,Bonos Serie F,,,,
Vida media (años),6,88,,5,98,,4,97
TIR,6,946%,,6,946%,,6,946%
Duración (años),5,187,,4,633,,3,981
Fecha de Liquidación
Anticipada del Fondo,30-mar-2015,,30-dic-2013,,28-dic-2012
