% TAA:,10%,,12%,,,15%
,Valores NAS- IO,,,,,
Vida media (años),N.A.,N.A.,,,N.A.,
TIR,8,660%,8,660%,,,8,660%,
Duración (años),1,247,1,247,,,1,247,
Fecha de Liquidación
Anticipada del Fondo,28-dic-2009,28-dic-2009,,,28-dic-2009,
