% TAA:,10%,12%,15%
,Bonos Serie A3,,
Vida media (años),14,40,12,72,10,67
TIR,3,981%,3,981%,3,981%
Duración (años),10,615,9,665,8,415
Fecha de Liquidación
Anticipada del Fondo,28-sep-2022,28-dic-2020,28-sep-2018
