,,,,S&P,,,,Fitch,,,Moody’s,,
,,,Calificación,,Fecha,,Calificación,,Fecha,,Calificación,Fecha,
,Corto,,-,,-,,F1,,Junio/2006,,P1,Enero/2006,
,Plazo,,,,,,,,,,,,
,Largo,,-,,-,,A,,Junio/2006,,A2,Enero/2006,
,Plazo,,,,,,,,,,,,
