CALIFICACIONES
S&P Credit Market
Moody's Investor Services Europe LTD Fitch Ratings DBRS Ratings
Service España (Sucursal en España) España (S.A.U.) Limited
Largo Plazo Baa2 BBB BBB+ A
Corto Plazo P‐2 A‐2 F2 R‐1 (low)
Outlook Negativo Negativo Negativo Negativo
Rating Watch ‐ ‐ ‐ Estable
