RECURSOS PROPIOS,,31/12/2010,,,31/12/2011,,,31/12/2012,,,30/06/2013,
Capital Social,,1.000,,,1.000,,,1.000,,,1.000,
Reserva Legal,,,200,,,200,,,200,,,200
Reserva Voluntaria,,,712,,,816,9,,,957,,,1.145
Reservas de Adaptación al NPGC,,,‐33,2,,,‐33,2,,,‐33,2,,,‐33,2
Resultados no distribuidos,,,106,0,,,340,2,,,188,0,,,560,5
TOTAL,,,1.984,80,,,2.323,90,,,2.311,80,,,2.872,63
Datos en miles de euros,,,,,,,,,,,,
