Vto Vto Inicial
Saldo Nominal
Tipo Referencia Saldo Nominal Residual Medio Tipo Actual
Número Pendiente no
de Interes Pendiente no Vencido Medio Pond Pond Medio Pond
Vencido %
(meses) (meses),
,358 418 1,15
,103 256 1,32
