Datos a 25 de octubre de 2013
IM BCG RMBS 2
Distribución por Frecuencia Pago Principal e intereses
Saldo Nominal Vto Residual Vto Inicial
Distribución por Frecuencia Saldo Nominal Tipo Actual
Número Pendiente no Medio Pond Medio Pond
Pago Principal e intereses Pendiente no Vencido Medio Pond
Vencido % (meses) (meses)
Mensual 12.192 1.469.597.909,42 99,97% 358 418 1,15
Anual 5 392.778,19 0,03% 160 265 1,30
TOTAL 12.197 1.469.990.687,61 100,00% 358 418 1,15

