% TAA:,10%,,,13%,,16%
,Bonos Serie A1,,,,,
Vida media (años),3,00,,2,90,,,2,83
TIR,3,610%,,3,610%,,,3,609%
Duración (años),2,76,,2,67,,,2,61
Fecha de Liquidación Anticipada,26/08/2022,,26/11/2019,,,27/11/2017
del Fondo al 10%,,,,,,
