% TAA:,10%,,,13%,,16%
,Bonos Serie A3,,,,,
Vida media (años),7,97,,8,02,,,8,15
TIR,3,665%,,3,665%,,,3,665%
Duración (años),6,71,,6,75,,,6,84
Fecha de Liquidación Anticipada,26/08/2022,,26/11/2019,,,27/11/2017
del Fondo al 10%,,,,,,
