% TAA:,10%,,,13%,,16%
,Bonos Serie A2,,,,,
Vida media (años),6,85,,5,27,,,4,12
TIR,3,663%,,3,660%,,,3,657%
Duración (años),5,49,,4,37,,,3,52
Fecha de Liquidación Anticipada,26/08/2022,,26/11/2019,,,27/11/2017
del Fondo al 10%,,,,,,
