FECHAS,EURIBOR 3m,SERIE A1,SERIE A2,SERIE A3,SERIE B
03-oct-06,3,435%,3,535%,3,575%,3,575%,3,735%
2-oct-06,3,424%,3,524%,3,564%,3,564%,3,724%
29-sep-06,3,417%,3,517%,3,557%,3,557%,3,717%
28-sep-06,3,413%,3,513%,3,553%,3,553%,3,713%
27-sep-06,3,376%,3,476%,3,516%,3,516%,3,676%
26-sep-06,3,368%,3,468%,3,508%,3,508%,3,668%
25-sep-06,3,374%,3,474%,3,514%,3,514%,3,674%
22-sep-06,3,376%,3,476%,3,516%,3,516%,3,676%
21-sep-06,3,372%,3,472%,3,512%,3,512%,3,672%
20-sep-06,3,352%,3,452%,3,492%,3,492%,3,652%
19-sep-06,3,349%,3,449%,3,489%,3,489%,3,649%
18-sep-06,3,340%,3,440%,3,480%,3,480%,3,640%
15-sep-06,3,335%,3,435%,3,475%,3,475%,3,635%
14-sep-06,3,333%,3,433%,3,473%,3,473%,3,633%
13-sep-06,3,321%,3,421%,3,461%,3,461%,3,621%
12-sep-06,3,315%,3,415%,3,455%,3,455%,3,615%
