% TAA:,10%,,,13%,,16%
,Bonos Serie B,,,,,
Vida media (años),10,84,,8,94,,,7,52
TIR,3,833%,,3,832%,,,3,831%
Duración (años),8,46,,7,23,,,6,25
Fecha de Liquidación Anticipada,26/08/2022,,26/11/2019,,,27/11/2017
del Fondo al 10%,,,,,,
