% TAA:,6 %,,,9 %,,12 %
,Bonos Serie D,,,,,
Vida media (años),7,65,,6,74,,,5,89
TIR,7,441%,,7,441%,,,7,441%
Duración (años),5,31,,4,84,,,4,38
Fecha de Liquidación Anticipada,28/06/2017,,28/03/2016,,,29/12/2014
del Fondo al 10%,,,,,,
