Cartera de préstamos hipotecarios al día 18.06.2013
Clasificación por Comunidades Autónomas,,
,Préstamos hipotecarios
%,Principal pendiente
( euros) %
Andalucía,2 0,08,168.950,99 0,07
Aragón,2.010 78,98,180.172.516,47 76,20
Cataluña,281 11,04,28.166.733,62 11,91
Extremadura,2 0,08,138.757,95 0,06
Galicia,3 0,12,251.471,87 0,11
Castilla-León,6 0,24,477.652,25 0,20
Madrid,86 3,38,11.228.738,31 4,75
Castilla La Mancha,3 0,12,416.714,41 0,18
Murcia,1 0,04,101.115,95 0,04
Navarra,2 0,08,242.569,36 0,10
La Rioja,117 4,60,12.816.939,21 5,42
Comunidad Valenciana,32 1,26,2.273.580,13 0,96
Total 2.545 100,00 236.455.740,52 100,00,,
