Fecha de Pago,%
Agosto 2010,10%
Noviembre 2010,20%
Febrero 2011,20%
Mayo 2011,20%
Agosto 2011,10%
Noviembre 2011,4%
Febrero 2012,4%
Mayo 2012,3%
Agosto 2012,3%
Noviembre 2012,2%
Febrero 2013,2%
Mayo 2013,2%
