Comunidad Autónoma,Sucursales
Galicia,47
Asturias,20
Castilla y León,74
Extremadura,22
Andalucía,169
Ceuta,6
Murcia,25
Valencia,136
Baleares,29
Castilla-La Mancha,144
Cantabria,24
País Vasco,35
Navarra,7
Aragón,25
Cataluña,241
Madrid,1.061
La Rioja,8
Canarias,30
Total,2.103
