CAJA MADRID,52,06%
BANCAJA,37,7%
CAJA INSULAR DE CANARIAS,2,45%
CAJA DE ÁVILA,2,33%
CAIXA LAIETANA,2,11%
CAJA SEGOVIA,2,01%
CAJA RIOJA,1,34%
