% TAA: 3% 6% 9%
Bonos Serie A,
Vida media (años)
TIR
Duración (años)
Fecha de vencimiento,8,55 6,09 4,64
1,15% 1,14% 1,14%
7,93 5,75 4,43
22-may-29 22-nov-24 22-nov-21
,
% TAA: 3% 6% 9%
Préstamo B,
Vida media (años)
TIR
Duración (años)
Fecha de liquidación
anticipada del Fondo
(10%),22,60 18,47 15,11
1,30% 1,30% 1,30%
19,37 16,22 13,55
22-ago-34 22-nov-30 24-may-27
,
TAA 3% 6% 9%,
Max. Fallidos acumulados,6,42% 4,75% 3,61%
