,Fitch,,Moody's,,S&P,
,,Fecha,,,,
,Calificación,,Calificación,Fecha,Calificación,Fecha
,,,,,,
Corto Plazo,F1,Abril 2009,P-1,Junio 2009,A-1,Junio 2010
Largo Plazo,A+,Abril 2009,A1,Junio 2009,A,Junio 2010
