,Entidades,,Importe Nominal Asegurado,,,,
,Aseguradoras,,,,,,
,,,Bonos Serie A1,Bonos Serie A2,Bonos Serie B,Bonos Serie C,Bonos Serie D
Barclays Bank
PLC, actuando a
través de su
división de
banca de
inversión
Barclays Capital,,,220.500.000,767.500.000,15.750.000,11.550.000,14.700.000
Banco Pastor,,,,10.000.000,,,
Bancaja,,,,10.000.000,,,
TOTAL,,,220.500.000,787.500.000,15.750.000,11.550.000,14.700.000
