Cartera de créditos hipotecarios (primeras disposiciones) al día 07/11/2005
Clasificación por relación límite inicial /Valor Tasación,,,
Intervalos Relación,Créditos
%,Límite inicial
(euros) %,(%) Límite
inicial /
Valor tasación *
0,01 - 5,00,1 0,02,21.000,00 0,00,2,94
5,01 - 10,00,8 0,12,287.100,00 0,03,8,98
10,01 - 15,00,23 0,35,1.059.852,42 0,10,12,74
15,01 - 20,00,58 0,87,3.759.998,03 0,37,17,80
20,01 - 25,00,120 1,81,9.127.532,68 0,89,22,82
25,01 - 30,00,174 2,62,16.379.945,83 1,60,27,77
30,01 - 35,00,200 3,02,21.013.434,88 2,05,32,75
35,01 - 40,00,286 4,31,34.582.752,52 3,38,37,58
40,01 - 45,00,330 4,98,40.886.961,49 3,99,42,73
45,01 - 50,00,453 6,83,58.648.225,82 5,73,47,69
50,01 - 55,00,496 7,48,73.131.657,75 7,14,52,66
55,01 - 60,00,593 8,94,93.013.111,79 9,09,57,57
