Vida Media, TIR, Duración y Vida Final Estimada en Función de Diferentes TACP,
A1,10% 12% 14% 16% 18%
Vida Media
TIR
Duración
Vida Final Estimada,0,83 0,74 0,67 0,62 0,56
2,24% 2,24% 2,24% 2,24% 2,24%
0,81 0,72 0,65 0,60 0,60
1,59 1,34 1,09 1.09 0,84
A2,10% 12% 14% 16% 18%
Vida Media
TIR
Duración
Vida Final Estimada,7,30 6,40 5,68 5,11 4,65
2,29% 2,29% 2,29% 2,29% 2,29%
6,42 5,70 5,11 4,63 4,24
15,59 13,84 12,34 11,09 10,09
B,10% 12% 14% 16% 18%
Vida Media
TIR
Duración
Vida Final Estimada,10,51 9,33 8,33 7,43 6,62
2,39% 2,39% 2,39% 2,39% 2,39%
9,01 8,11 7,33 6,61 5,95
15,59 13,84 12,34 11,09 10,09
C,10% 12% 14% 16% 18%
Vida Media
TIR
Duración
Vida Final Estimada,10,51 9,33 8,33 7,43 6,62
2,49% 2,49% 2,49% 2,49% 2,49%
8,95 8,07 7,30 6,58 5,92
15,59 13,84 12,34 11,09 10,09
D,10% 12% 14% 16% 18%
Vida Media
TIR
Duración
Vida Final Estimada,10,51 9,33 8,33 7,43 6,62
2,80% 2,80% 2,80% 2,80% 2,80%
8,78 7,93 7,18 6,49 5,84
15,59 13,84 12,34 11,09 10,09
