,Bonos de la
Serie A1,Bonos de la
Serie A2,Bonos de la
Serie B,Bonos de la
Serie C,Bonos de la
Serie D
Tipo de Interés
Nominal para
el primer
Período de
Interés,2,200%,2,250%,2,350%,2,450%,2,750%
