Flujos de caja por Bono con TACP del 8%
Constitución 25-may-06 Bonos 750.000.000 Bonos 1er periodo Resto periodos
Desembolso 31-may-06 Tramo A 700.100.000 Tramo A 3,021% 2,929%
1ª Fecha Pago 23-oct-06 Tramo B 28.900.000 Tramo B 3,171% 3,079%
Tramo C 21.000.000 Tramo C 3,471% 3,379%,,,,,
,Bonos del Tramo A,,Bonos del Tramo B,,Bonos del Tramo C
Fecha
Pago,Saldo Vivo Principal
al final periodo amortizado Intereses,,Saldo Vivo Principal
al final periodo amortizado Intereses,,Saldo Vivo Principal
al final periodo amortizado Intereses
23-oct-06 95.978,97 4.021,03 1.216,95 100.000,00 0,00 1.277,37 100.000,00 0,00 1.398,20
22-ene-07 93.187,64 2.791,33 710,61 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-abr-07 90.462,31 2.725,33 682,37 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-07 87.801,50 2.660,80 669,77 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-07 85.203,79 2.597,71 657,21 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-08 82.667,77 2.536,02 637,77 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-08 80.192,05 2.475,71 612,06 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-jul-08 77.775,35 2.416,71 593,73 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-08 75.416,44 2.358,91 582,17 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-09 73.114,21 2.302,23 564,51 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-09 70.867,39 2.246,83 535,38 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-09 68.674,65 2.192,74 524,69 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-09 66.534,75 2.139,90 514,04 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-10 64.446,55 2.088,20 498,03 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-10 62.409,13 2.037,43 471,91 100.000,00 0,00 769,75 100.000,00 0,00 844,75
