AyT Kutxa Hipotecario I, F.T.A.
Flujos de caja por Bono con TACP del 6%
Constitución 25-may-06 Bonos 750.000.000 Bonos 1er periodo Resto periodos
Desembolso 31-may-06 Tramo A 700.100.000 Tramo A 3,021% 2,929%
1ª Fecha Pago 23-oct-06 Tramo B 28.900.000 Tramo B 3,171% 3,079%
Tramo C 21.000.000 Tramo C 3,471% 3,379%,,,,,
,Bonos del Tramo A,,Bonos del Tramo B,,Bonos del Tramo C
Fecha
Pago,Saldo Vivo Principal
al final periodo amortizado Intereses,,Saldo Vivo Principal
al final periodo amortizado Intereses,,Saldo Vivo Principal
al final periodo amortizado Intereses
23-oct-06 96.757,81 3.242,19 1.216,95 100.000,00 0,00 1.277,37 100.000,00 0,00 1.398,20
22-ene-07 94.490,29 2.267,53 716,38 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-abr-07 92.262,51 2.227,78 691,91 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-07 90.073,83 2.188,68 683,10 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-07 87.923,61 2.150,22 674,22 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-08 85.811,23 2.112,38 658,13 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-08 83.736,07 2.075,16 635,33 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-jul-08 81.697,57 2.038,50 619,97 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-08 79.695,24 2.002,33 611,52 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-09 77.728,69 1.966,56 596,54 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-09 75.797,31 1.931,38 569,17 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-09 73.900,45 1.896,86 561,19 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-09 72.037,52 1.862,93 553,16 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-10 70.208,02 1.829,51 539,22 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-10 68.411,63 1.796,38 514,10 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-10 66.648,18 1.763,46 506,51 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-10 64.917,28 1.730,89 498,88 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-11 63.217,51 1.699,77 485,92 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-11 61.549,02 1.668,49 462,91 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-11 59.911,60 1.637,42 455,70 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-11 58.304,60 1.607,00 448,45 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-12 56.727,28 1.577,31 436,42 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-12 55.178,87 1.548,41 420,00 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-jul-12 53.658,75 1.520,13 408,54 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-12 52.166,95 1.491,80 401,65 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-13 50.702,63 1.464,32 390,48 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-abr-13 49.265,46 1.437,17 371,27 100.000,00 0,00 769,75 100.000,00 0,00 844,75
22-jul-13 47.855,22 1.410,23 364,75 100.000,00 0,00 778,30 100.000,00 0,00 854,14
22-oct-13 46.471,39 1.383,83 358,21 100.000,00 0,00 786,86 100.000,00 0,00 863,52
22-ene-14 45.290,10 1.181,30 347,85 97.531,82 2.468,18 786,86 97.531,82 2.468,18 863,52
22-abr-14 44.136,72 1.153,38 331,64 95.048,04 2.483,79 750,75 95.048,04 2.483,79 823,90
