ACTIVO 2005 2004
CAJA Y DEPÓSITOS EN BANCOS CENTRALES 147.299 186.928
CARTERA DE NEGOCIACIÓN 100.086 34.435
OTROS AC. FINANC. A VALOR RAZONABLE CON CAMBIOS EN PYG 200.200 -
ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA 1.147.402 1.068.342
INVERSIONES CREDITICIAS 12.395.902 10.271.199
CARTERA DE INVERSIÓN A VENCIMIENTO 497.327 46.688
AJUSTES A ACTIV. FINAN. POR MACROCOBERTURAS
DERIVADOS DE COBERTURA 47.871 41.113
ACTIVOS NO CORRIENTES EN VENTA 3.778 1.023
PARTICIPACIONES 146.869 153.217
CONTRATOS DE SEGUROS VINCULADOS A PENSIONES
ACTIVOS POR REASEGUROS
ACTIVO MATERIAL E INTANGIBLE 605.981 441.154
ACTIVOS FISCALES 65.684 62.593
OTROS ACTIVOS Y PERIODIFICACIONES 197.872 102.782
TOTAL ACTIVO 15.556.271 12.409.474
