PASIVO 2005 2004
CARTERA DE NEGOCIACIÓN 12.586 9.953
O. PASIVOS FINANC. A VALOR RAZONABLE CON CAMBIOS EN PYG
P. FINANC. A VALOR RAZONABLE CON CAMBIOS EN PATRIMONIO NETO
PASIVOS FINANC. A COSTE AMORTIZADO 12.943.177 10.017.022
AJUSTES A PASIVOS FINANCIEROS POR MACROCOBERTURAS
DERIVADOS DE COBERTURAS 1.841 16.781
PASIVOS ASOCIADOS CON ACTIVOS NO CORRIENTES EN VENTA
PASIVOS POR CONTRATOS DE SEGUROS
PROVISIONES 34.976 24.029
PASIVOS FISCALES 217.989 202.667
OTROS PASIVOS Y PERIODIFICACIONES 150.113 107.294
CAPITAL CON NATURALEZA DE PASIVO FINANCIERO
TOTAL PASIVO 13.360.682 10.377.746
PATRIMONIO NETO 2.195.589 2.031.728
INTERESES MINORITARIOS 954 3.030
AJUSTES POR VALORACION 298.126 279.758
FONDOS PROPIOS 1.896.509 1.748.940
TOTAL PATRIMONIO NETO 2.195.589 2.031.728
TOTAL PASIVO Y PATRIMONIO NETO 15.556.271 12.409.474
