CUENTA DE PERDIDAS Y GANANCIAS CONSOLIDADO 2005 2004
A) MARGEN DE INTERMEDIACION 225.785 206.732
B) MARGEN ORDINARIO 481.639 371.977
C) MARGEN DE EXPLOTACION 268.428 189.901
D) RESULTADO ANTES DE IMPUESTOS 215.793 184.126
E) RESULTADO CONSOLIDADO DEL EJERCICIO 176.077 157.614
