Tipo,Atribución
Oficina Rural,2.000 – 20.000 Euros
Oficina Universal,20.000 – 70.000 Euros
Oficina Mixta,2.000 – 70.000 Euros
Ud. Hipotecaria (RCI),2.000 – 200.000 Euros
Empresas (RCEF),2.000 – 200.000 Euros
Area de Riesgos,2.000 – 200.000 Euros
Comité Riesgos SS.CC,200.000 – 450.000 Euros
Comisión Ejecutiva,> 450.000 Euros
