ORGANO,RIESGO TOTAL DEL ACREDITADO
Directores de Oficina (1),Hasta 30.000 €
Jefatura de Zona,Hasta 60.000 €
Departamento de Inversiones,Hasta 120.000 €
Dirección General,Hasta 180.000 €
Comisión Ejecutiva,Más de 180.000 €
