TIPO DE INTERÉS DE
REFERENCIA Y DIFERENCIAL,NUM.,SALDO ACTUAL TOTAL,SALDO
ACTUAL %,VTO.
RESIDUAL
Medio Pond.,VTO. INICIAL
Medio Pond.,TIPO ACTUAL
Medio Pond.,MIN. TIPO
ACTUAL,MAX.
TIPO
ACTUAL,TIPO
DIFERENCIAL
Medio Pond.(1)
