,,,,
Scenario,,5% CPR,10% CPR,15% CPR
,,,,
,Average Life (years),1.57
3.484%,1.57
3.484%,1.57
3.484%
Security IO-1,,,,
,Yield,,,
,,,,
,Average Life (years),1.10
3.442%,1.10
3.442%,1.10
3.442%
Security IO-2,,,,
,Yield,,,
,,,,
