,,Margin,,Interest Rate
2.171%,+,0.15%,=,2.321%
2.171%,+,0.21%,=,2.381%
2.171%,+,0.37%,=,2.541%
2.171%,+,0.75%,=,2.921%
2.171%,+,3.50%,=,5.671%
,,,,
2.171%,+,0.16%,=,2.331%
2.171%,+,0.24%,=,2.411%
2.171%,+,0.45%,=,2.621%
2.171%,+,0.85%,=,3.021%
2.171%,+,4.00%,=,6.171%
