Class 1,Amount (EURO),Coupon,Redemption,Moody’s
A2a,168.900.000,EURIBOR 3m + 0.16%,Pass-through***,Aaa
A2b*,48,800,000,EURIBOR 3m + 0.24%,Pass-through,Aaa
Security IO-2,1,446,482,1,5% sobre Nocional**,N.A,Aaa
B2,14,600,000,EURIBOR 3m + 0.45%,Pass-through,A1
C2,6,000,000,EURIBOR 3m + 0.85%,Pass-through,Baa2
D2,5,700,000,EURIBOR 3m + 4.00%,Pass-through,Ba2
