8. Yearly provision,97.06,189.02,1,701.16,2,205.83,4,932.85
9. Yearly recoveries,45.98,51.09,45.98,1,131.11,2.289.61
10. Delinquency,0.00,0.00,0.00,0.00,0.00
11. Amount early redemption,4,945.70,5,608.37,6,906.78,16,414.16,26,547.46
12. % Amount early redemption **,13.27%,14.38%,7.58%,6.62%,10.89%
