CAJA NAVARRA,1999,2000,2001,2002,2003
1. Home Mortgage Loans live balance,N.A.,N.A.,N.A.,3,284,303.17,3,932,126.26
2. Number of Home Mortgage Loans,N.A.,N.A.,N.A.,55,515,59,893
3. Number of defaulted loans < 90 days,N.A.,N.A.,N.A.,8,519,8,841
4. Amount of defaulted loans < 90 days,N.A.,N.A.,N.A.,362,066.17,416,678.95
5. Delinquency rate,N.A.,N.A.,N.A.,4,021,4,223
6. Amount. Loans. Doubtful Quality,N.A.,N.A.,N.A.,14,306.4,15,917.34
7. % Default rate >90 days *,N.A.,N.A.,N.A.,0.44%,0.40%
8. Yearly provision,N.A.,N.A.,N.A.,5,096,5,469
9. Yearly recoveries,N.A.,N.A.,N.A.,5,459,5,711
10. Delinquency,N.A.,N.A.,N.A.,N.A.,N.A.
11. Amount early redemption,N.A.,N.A.,N.A.,2,928,11,437
12. % Amount early redemption **,N.A.,N.A.,N.A.,0.09%,0.29%
