,Amount of Outstanding Principal
ENTITY,representing its Mortgage Loans 2
,(Euro)
Caja Granada,16,000,000
Credifimo,46,000,000
Caixa Navarra,120,000,000
Caixa Terrassa,62,000,000
TOTAL,244,000,000
