,Maximum Amount of Outstanding Nominal Balance represented by
ENTITY,the Shares and Certificates
Caja Granada,148,000,000
Credifimo,150,000,000
Caixa Tarragona,50,000,000
Caja Navarra,120,000,000,00
Caixa Terrassa,62,000,000
TOTAL,530,000,000
