Class 1,Nominal Interest Rates,Yield
A1a,2.321%,2.374%
A1b*,2.381%,2.436%
Security IO-1,1.5% over Notional,3.484%
B1,2.541%,2.601%
C1,2.921%,2.995%
D1,5.671%,5.875%
