% TAA:,9%,,,12 %,,,15 %
,Bonos Serie A,,,,,,
Vida media (años),4,24,,3,68,,,3,25,
TIR,4,479%,,4,479%,,,4,479%,
Duración (años),3,53,,3,12,,,2,79,
Fecha de Liquidación Anticipada,28/09/2018,,28/03/2017,,,28/12/2015,
del Fondo al 10%,,,,,,,
