% TAA:,9%,,,12 %,,,15 %
,Bonos Serie B,,,,,,
Vida media (años),7,54,,6,50,,,5,58,
TIR,4,741%,,4,741%,,,4,741%,
Duración (años),6,00,,5,30,,,4,65,
Fecha de Liquidación Anticipada,28/09/2018,,28/03/2017,,,28/12/2015,
del Fondo al 10%,,,,,,,
