% TAA:,9%,,,12 %,,,15 %
,Bonos Serie C,,,,,,
Vida media (años),7,54,,6,50,,,5,58,
TIR,5,109%,,5,109%,,,5,109%,
Duración (años),5,90,,5,23,,,4,59,
Fecha de Liquidación Anticipada,28/09/2018,,28/03/2017,,,28/12/2015,
del Fondo al 10%,,,,,,,
