,Bonos de la
Serie A,Bonos de
la Serie B,Bonos de
la Serie C,Bonos de
la Serie D,Bonos de
la Serie E
Tipo de Interés
Nominal,2,333%,2,533%,2,783%,4,183%,6,183%
