Standard &
Poor’s,Significado
AAA,Capacidad de pago de intereses y devolución del
principal enormemente alta.
AA,Capacidad muy fuerte para pagar intereses y devolver
principal
A,Fuerte capacidad de pagar interés y devolver el
principal. Los factores de protección se consideran
adecuados pero pueden ser susceptibles de empeorar
en el futuro.
BBB,La protección de los pagos de interés y del principal
puede ser moderada, la capacidad de pago se considera
adecuada. Las condiciones de negocio adversas podrían
conducir a una capacidad inadecuada para hacer los
pagos de interés y del principal.
BB,Grado especulativo. No se puede considerar que el
futuro este asegurado. La protección del pago de
intereses y del principal es muy moderada.
B,La garantía de los pagos de interés o del principal puede
ser pequeña. Altamente vulnerables a las condiciones
adversas del negocio
CCC,Vulnerabilidad identificada al incumplimiento.
Continuidad de los pagos dependiente de que las
condiciones financieras, económicas y de los negocios
sean favorables.
-,Altamente especulativos.
-,Incumplimiento actual o inminente.
-,Valores especulativos. Su valor puede no exceder del
valor de reembolso en caso de liquidación o
reorganización del sector
