FONDOS DE TITULIZACION DE ACTIVOS
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO POR SERIE TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS
FTA SANTANDER 1 Pag.Intern 4.920.935.056,73 S&P España / Moody´s España 26/11/1998 1.202.024.208,77 €
Pag. Nac. 0,00
Total 4.920.935.056,73 €
FTA UCI 6 Serie A 97.661.432,34 Euribor 3M + 0.295% Moody´s España 19/06/2000 457.000.000,00 €
Serie B 8.594.204,64 Euribor 3M + 0.775%
Total 106.255.636,98 €
FTA UCI 7 Serie A 115.844.786,40 Euribor 3M + 0.250% S&P España / Moody´s España 25/10/2001 455.000.000,00 €
Serie B 8.109.134,16 Euribor 3M + 0.700%
Total 123.953.920,56 €
FTA HIPOTEBANSA X Serie A 320.332.717,87 Euribor 3M + 0.21% S&P España / Moody´s España 04/03/2002 917.000.000,00 €
Serie B 18.300.000,00 Euribor 3M + 0.55%
Total 383.268.974,90 €
FTA FTPYME BANESTO 1 SERIE A1(G) 0,00 € Euribor 3M + 0.01% Fitch IBCA / Moody´s España 11/06/2002 500.000.000,00 €
SERIE A1 0,00 € Euribor 3M + 0.35%
SERIE A2(G) 0,00 € Euribor 3M + 0.04%
SERIE A2 0,00 € Euribor 3M + 0.38%
SERIE A3(G) 166.700.000,00 Euribor 3M + 0.07%
SERIE A3 41.700.000,00 Euribor 3M + 0.48%
SERIE B(G) 1.114.596,75 Euribor 3M + 0.20%
SERIE B 1.114.596,75 Euribor 3M + 0.90%
SERIE C 1.950.544,00 Euribor 3M + 1.80%
Total 212.579.737,50 €
FTA UCI 8 Serie A 150.439.419,78 Euribor 3M + 0.220% S&P España / Moody´s España 24/06/2002 600.000.000,00 €
Serie B 9.929.003,04 Euribor 3M + 0.600%
Total 160.368.422,82 €
FTA HIPOTEBANSA 11 Serie A 483.942.649,44 Euribor 3M + 0.24% S&P España / Moody´s España 26/11/2002 1.062.000.000,00 €
Serie B 21.200.000,00 Euribor 3M + 0.45%
Total 550.497.695,12 €
SANTANDER CONSUMER Serie A 186.654.020,25 Euribor 3M + 0.30% Fitch / Moody´s España / S&P 09/12/2002 850.000.000,00 €
FINANCE SPAIN 02-1 FTA Serie B 11.914.089,60 Euribor 3M + 0.60%
Total 198.568.109,85 €
FTA CONSUMO SANTANDER 1 Serie A 114.133.406,40 Euribor 3M + 0.25% S&P España / Moody´s España 04/03/2003 1.080.000.000,00 €
Serie B 37.800.000,00 Euribor 3M + 0.43%
Serie C 35.100.000,00 Euribor 3M + 0.73%
Serie D 35.100.000,00 Euribor 3M + 1.40%
Total 222.133.406,40 €
