Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
RETRASOS EN EL PAGO DE LAS CUOTAS
DE LOS PRÉSTAMOS ASOCIADOS NO HIPOTECARIOS,,,,
INTERVALO,NUMERO DE
PRESTAMOS,% NUMERO
PRESTAMOS,SALDO VIVO,% SALDO
VIVO
Corriente de pago 1.940 88,34%
Entre 1 y 15 días 220 10,02%
Entre 31 y 45 días 36 1,64%,,,44.308.606,30 89,04%
4.743.076,74 9,53%
711.855,33 1,43%,
TOTALES: 2.196 100,00%,,,49.763.538,37 100,00%,
