,,,Cargos o funciones que se
,,Sociedad a través de la cual se,
,Cargo en el,,ostentan o realizan en la
Nombre,,presta la actividad,
,Banco,,Sociedad indicada
,,,
Emilio Osuna Heredia,Director de
CoordinaciónSGC
(Santander Global
Connect),AIAF, Mercado de Renta Fija,Consejero
,,Asociación de Intermediarios
Financieros,Presidente
Fermín Colomés Graell,Director de
Operaciones y
Servicio SCH,Open Bank Santander Consumer,
S.A.,Consejero
,,Geoban S.A.,Presidente
,,Sercoban, S.L.,Presidente
Santos González Sánchez,Director de
Negocio
Hipotecario SCH,Hipotebansa , EFC,Consejero y Director General
Francisco Pérez Mansilla,Director de
Empresas y
PYMES SCH,Santander Central Hispano Lease,
SA,
EFC,Consejero
,,Santander Central Hispano
Multileasing, S.A., EFC,Consejero
,,Santander Central Hispano,
Factoring y Confirming, S.A., EFC,
,,,Consejero
Eduardo García Arroyo,Director General
Adjunto SCH,Ingeniería de Software bancario, S.L.,Consejero
,,Santander Consumer Finance,Director de Tecnología y
Operaciones
Marcelo Alejandro Castro,Tesorero para
Europa SCH,MEFF, Mercados Españoles Futuros
Financieros,Consejero
,,Holding Mercados S.A.,
,,,Consejero
José Antonio Álvarez Álvarez,Director General
Financiero SCH,Santander Consumer Finance,Consejero
José Antonio Soler Ramos,Director de
Gestión Financiera
SCH,Santander Comercial Paper SAU,Presidente
,,Santander Perpetual SAU,Presidente
,,Santander US Debt SAU,Presidente
,,Santander Finance Preferred SAU,Consejero y Presidente
,,Santander Issuances SAU,Consejero y Presidente
,,Santander International Debt SAU,Consejero y Presidente
,,Santander Finance Capital SAU,Consejero y Presidente
