Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,
ÍNDICE DE REFERENCIA DE LOS PRESTAMOS HIPOTECARIOS,,,
Nº DE
ÍNDICE DE REFERENCIA PRESTAMOS,% Nº
PRESTAMOS,SALDO VIVO,% SALDO
VIVO
Euribor/Mibor 1 año 682 7,58% 127.538.939,84 8,99%
IRPC(Conjunto de Cajas de Ahorros) 8.297 92,27% 1.290.130.214,01 90,95%
IRPH(Conjunto Entidades
Financieras) 13 0,14% 863.805,13 0,06%,,,
TOTALES 8.992 100,00% 1.418.532.959 100,00%,,,
