Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
RETRASOS EN EL PAGO DE LAS CUOTAS
DE LOS PRESTAMOS HIPOTECARIOS,,,,
INTERVALO,NUMERO DE
PRESTAMOS,% NUMERO
PRESTAMOS,SALDO VIVO,% SALDO
VIVO
Corriente de pago 7.961 88,53%
Entre 1 y 15 días 859 9,55%
Entre 31 y 45 días 172 1,91%,,,1.276.594.749,81 89,99%
119.829.607,10 8,45%
22.108.602,07 1,56%,
TOTALES: 8.992 100,00%,,,1.418.532.958,98 100,00%,
