Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
RETRASOS EN EL PAGO DE LAS CUOTAS
DE LOS PRESTAMOS ASOCIADOS CON HIPOTECA DE SEGUNDO RANGO,,,,
INTERVALO,NUMERO DE
PRESTAMOS,% NUMERO
PRESTAMOS,SALDO VIVO,% SALDO
VIVO
Corriente de pago 501 95,43%
Entre 1 y 15 días 21 4,00%
Entre 31 y 45 días 3 0,57%,,,22.912.492,32 95,95%
891.863,69 3,73%
76.314,20 0,32%,
TOTALES: 525 100,00%,,,23.880.670,21 100,00%,
