,2.000,2.001,2.002,2003,2.004
Total activo,5.056.784,6.335.656,7.518.779,8.953.370,11.469.452
Crédito sobre clientes,4.083.432,5.152.089,6.428.751,7.576.479,9.254.814
Crédito con garantía real,2.202.988,2.911.485,3.943.492,4.749.584,6.213.864
Crédito hipotecario,2.180.518,2.865.786,3.870.361,4.715.624,6.171.921
Crédito hipotecario vivienda,857.307,1.116.373,1.546.142,1.908.365,3.072.040
Número de préstamos hipotecario vivienda,22.144,26.053,29.384,31.261,42.604
Crédito hipotecario vivienda libre (V.L.)*,717.510,980.215,1.419.191,1.724.135,2.909.066
Número de préstamos (V.L.),17.388,21.360,24.902,26.287,37.711
Número de préstamos a tipo variable (V.L.),16.648,20.703,24.350,25.810,37.293
,,,,,
Principal residual a tipo variable (V.L.),696.503,961.233,1.404.521,1.711.431,2.896.019
Número de préstamos impagados < 90 días,1.662,2.002,2.091,1.960,2.389
(no incluidos en DDC) (V.L.),,,,,
,,,,,
Importe préstamos impagados < 90 días (no,79.439,94.390,116.950,123.141,174.601
incluidos en DDC) (V.L.),,,,,
,,,,,
,182,190,203,187,218
Núm. ptmos. Deudores Dudoso Cobro **,,,,,
(V.L.),,,,,
Importe ptmos. D.D.C. (V.L.),6.400,7.165,9.233,9.069,12.129
% Tasa de impago > 90 días *** (V.L),0,89%,0,73%,0,65%,0,53%,0,42%
Provisiones en el ejercicio (V.L.),1.105,850,1.158,1.822,1.737
Recuperaciones en el ejercicio,192,902,608,702,1.748
Paso a cuentas suspensivas,60,39,14,22,491
Importe de amort. anticipadas(V.L.),38.641,71.898,99.261,164.100,229.067
