,Porcentaje,Importe (nominal y
nocional, en el caso de
los Valores NAS-IO),Resultado
Serie A1,0,09%,361.400.000 euros,325.260 euros
Serie A2,0,09%,97.000.000 euros,87.300 euros
Valores NAS-IO,0,09%,97.000.000 euros,87.300 euros
Serie B,0,30%,13.500.000 euros,40.500 euros
Serie C,0,30%,8.100.000 euros,24.300 euros
Serie D,0,50%,5.000.000 euros,25.000 euros
